comuna,apruebo_p22,rechazo_p22,byn_p22,novoto_p22
CHIMBARONGO,0.2534288572627231,0.6535966695711105,0.019524316648917288,0.07345015651724916
CHOLCHOL,0.21845259076489248,0.6159675713782164,0.021942192456820584,0.14363764540007048
CHONCHI,0.2680963185244822,0.5451950523311132,0.015516358047280979,0.17119227109712362
CISNES,0.2619918261991826,0.49645084964508496,0.015702301570230157,0.22585502258550225
COBQUECURA,0.2110822510822511,0.6538528138528139,0.016103896103896103,0.11896103896103896
COCHAMO,0.17053763440860215,0.573763440860215,0.01827956989247312,0.23741935483870968
COCHRANE,0.2528562838244137,0.42032471437161756,0.02254960914010824,0.3042693926638605
CODEGUA,0.30512514898688914,0.6063340711731653,0.022560871786139962,0.06597990805380555
COELEMU,0.21363066569901695,0.6670185392887774,0.015438411295111169,0.10391238371709441
COIHUECO,0.15955319888734354,0.7405250347705146,0.015168636995827538,0.08475312934631432
COINCO,0.2929157144777524,0.5977954026078774,0.024868933996504906,0.0844199489178653
COLBUN,0.22851021581230077,0.6586716831269269,0.018289178032084442,0.09452892302868789
COLCHANE,0.034709535988308365,0.6196565582754842,0.009499451954694921,0.33613445378151263
COLINA,0.24148336296672593,0.642997205994412,0.013187706375412752,0.10233172466344932
COLLIPULLI,0.15520115330900572,0.6791458305176375,0.01829076001261432,0.14736225616074244
COLTAUCO,0.2782142857142857,0.63125,0.02095238095238095,0.06958333333333333
COMBARBALA,0.2987378406624327,0.49529704960205806,0.029503979419567488,0.1764611303159418
CONCEPCION,0.32354724558159875,0.5090008150931393,0.016108029661438143,0.15134390966382377
CONCHALI,0.40645183967942916,0.42538028243275305,0.020483844038067786,0.14768403384974998
CONCON,0.304722228687132,0.5677147578374101,0.018246561314497173,0.10931645216096074
CONSTITUCION,0.23624433369230383,0.6417140424253049,0.020085652032357435,0.10195597185003381
CONTULMO,0.15402528276779773,0.6646706586826348,0.01679973386560213,0.1645043246839654
COPIAPO,0.3283838586629191,0.5095282071873117,0.01859867496486649,0.14348925918490263
COQUIMBO,0.3566514213063755,0.49713938534757734,0.02424068542239774,0.12196850792364944
CORONEL,0.2807017543859649,0.583628647679048,0.019425121407008795,0.1162444765279783
CORRAL,0.31000901713255186,0.4715960324616772,0.016411181244364293,0.20198376916140667
COYHAIQUE,0.25506387705980377,0.46770968339196445,0.014312164413997408,0.2629142751342344
CUNCO,0.17861339600470036,0.543918918918919,0.016304347826086956,0.2611633372502938
CURACAUTIN,0.135497694349993,0.5288555591783501,0.01252969397736271,0.3231170524942941
CURACAVI,0.36255234580168927,0.5320462772375613,0.01973170558591809,0.08566967137483143
CURACO DE VELEZ,0.23838926174496644,0.5471140939597315,0.028187919463087248,0.18630872483221478
CURANILAHUE,0.2188171321160043,0.6349355531686359,0.018629162191192268,0.12761815252416756
CURARREHUE,0.2098409771836829,0.5220096796496889,0.020396404701544135,0.24775293846508412
CUREPTO,0.2604968339016074,0.5973697028738432,0.024939113492450073,0.11719434973209937
CURICO,0.30058880276770567,0.5977179734539769,0.017888626459532285,0.08380459731878513
DALCAHUE,0.24220057829858468,0.5826358240754832,0.018566428245320347,0.15659716938061177
DIEGO DE ALMAGRO,0.3251215559157212,0.36547811993517015,0.019448946515397084,0.2899513776337115
DONIHUE,0.32840818495880947,0.5776773850651076,0.0213659314376827,0.07254849853840022
EL BOSQUE,0.40037243947858475,0.4723373580825374,0.01901243467291404,0.10827776776596383
EL CARMEN,0.16568619550326377,0.691353050205496,0.014586187444596664,0.12837456684664356
EL MONTE,0.36,0.5538864628820961,0.019563318777292577,0.06655021834061135
EL QUISCO,0.3936967522900519,0.4778681698802127,0.023252834539747615,0.10518224328998783
EL TABO,0.42504234895539245,0.46569734613212876,0.019692264257481648,0.08956804065499718
EMPEDRADO,0.175,0.7309633027522936,0.012385321100917432,0.081651376146789
ERCILLA,0.21801549993647568,0.5773091093888959,0.02629907254478465,0.17837631812984373
ESTACION CENTRAL,0.36090423411211225,0.3971373893628897,0.018650825293038832,0.22330755123195917
FLORIDA,0.19341372912801486,0.6973098330241188,0.018089053803339517,0.0911873840445269
FREIRE,0.20620021528525295,0.6285898815931109,0.02101184068891281,0.14419806243272335
FREIRINA,0.3693827160493827,0.46139917695473254,0.021893004115226336,0.14732510288065845
FRESIA,0.21060311284046693,0.6413748378728924,0.017590791180285344,0.1304312581063554
FRUTILLAR,0.22200143511618922,0.6469614174532208,0.019705249213445936,0.11133189821714412
FUTALEUFU,0.1467005076142132,0.3568527918781726,0.01649746192893401,0.4799492385786802
FUTRONO,0.18233505222795188,0.6342721142403808,0.016593944202036227,0.1667988893296311
GALVARINO,0.20421070150619955,0.6153782141965549,0.02163601564450362,0.15877506865274194
GENERAL LAGOS,0.05558912386706949,0.39093655589123866,0.013897280966767372,0.5395770392749245
GORBEA,0.18308687023878112,0.5937520005121311,0.01587606427245375,0.20728506497663401
GRANEROS,0.34355380347495984,0.5465396408234778,0.017958826106000875,0.0919477295955614
GUAITECAS,0.2437937619350732,0.44557606619987267,0.018459579885423297,0.2921705919796308
HIJUELAS,0.27888770589340517,0.6215319095634747,0.02379908561407904,0.07578129892904115
HUALAIHUE,0.23487824037706206,0.5855683986084614,0.021546403321737177,0.1580069576927393
HUALANE,0.28728830850846765,0.592736176290553,0.023668639053254437,0.09630687614772496
